country,Year,PatentNum,maxCitations,avgCitations,diffCitations
AZ,1996,5557800,4,4.0,0.0
BB,1975,3863949,38,20.0,18.0
BB,1986,4583765,24,24.0,0.0
BB,1967,3344766,2,2.0,0.0
BB,1977,4013342,26,26.0,0.0
BE,1972,3632105,131,6.2596491228070175,124.74035087719298
BE,1978,4065826,43,7.126050420168068,35.87394957983193
BE,1982,4310294,72,6.848039215686274,65.15196078431373
BE,1987,4635133,55,6.290196078431372,48.70980392156863
BE,1990,4890660,36,5.04074074074074,30.95925925925926
BE,1975,3858859,78,6.020325203252033,71.97967479674797
BE,1998,5709318,11,1.6388888888888888,9.36111111111111
BE,1966,3230195,20,4.239130434782608,15.76086956521739
BE,1996,5480912,28,3.3493150684931505,24.65068493150685
BE,1988,4716917,37,6.255725190839694,30.744274809160306
BE,1997,5590624,16,2.067873303167421,13.93212669683258
BE,1968,3364012,30,3.858267716535433,26.141732283464567
BE,1983,4366690,146,7.459016393442623,138.54098360655738
BE,1979,4132551,50,7.9748427672955975,42.0251572327044
BE,1999,5856877,2,1.2307692307692308,0.7692307692307692
BE,1985,4492177,43,6.624413145539906,36.375586854460096
BE,1980,4181239,36,6.908675799086758,29.091324200913242
BE,1973,3708264,81,6.260504201680672,74.73949579831933
BE,1964,3117311,18,3.5,14.5
BE,1993,5176329,46,5.043321299638989,40.95667870036101
BE,1974,3782067,87,6.624161073825503,80.3758389261745
BE,1970,3488528,52,4.765060240963855,47.234939759036145
BE,1981,4243022,47,6.340336134453781,40.65966386554622
BE,1992,5078777,87,5.176470588235294,81.82352941176471
BE,1986,4563410,36,6.538461538461538,29.46153846153846
BE,1989,4794958,50,5.776357827476039,44.22364217252396
BE,1969,3420286,37,5.114457831325301,31.8855421686747
BE,1963,3070801,24,3.6956521739130435,20.304347826086957
BE,1965,3165029,29,3.6153846153846154,25.384615384615383
BE,1994,5275753,45,3.6459143968871595,41.35408560311284
BE,1995,5378580,30,3.8636363636363638,26.136363636363637
BE,1977,4001023,23,5.721973094170403,17.2780269058296
BE,1984,4424031,76,7.572072072072072,68.42792792792793
BE,1976,3930341,73,6.394648829431438,66.60535117056857
BE,1971,3552968,37,4.696356275303644,32.30364372469636
BE,1967,3297264,23,4.566666666666666,18.433333333333334
BE,1991,4981768,69,5.447761194029851,63.55223880597015
BG,1981,4243520,44,7.2,36.8
BG,1970,3514236,13,4.428571428571429,8.571428571428571
BG,1991,4999118,7,3.0,4.0
BG,1978,4077357,22,5.172413793103448,16.82758620689655
BG,1980,4196059,17,3.9444444444444446,13.055555555555555
BG,1971,3552080,9,4.625,4.375
BG,1969,3467165,24,7.333333333333333,16.666666666666668
BG,1984,4425594,17,4.176470588235294,12.823529411764707
BG,1988,4721260,12,3.625,8.375
BG,1983,4369919,16,5.533333333333333,10.466666666666667
BG,1976,3933496,15,5.444444444444445,9.555555555555555
BG,1974,3814127,14,4.636363636363637,9.363636363636363
BG,1996,5529688,1,1.0,0.0
BG,1997,5624653,1,1.0,0.0
BG,1977,4013401,17,4.44,12.559999999999999
BG,1993,5189922,2,1.25,0.75
BG,1990,4908829,10,2.8823529411764706,7.117647058823529
BG,1967,3355752,41,12.25,28.75
BG,1989,4806548,38,8.090909090909092,29.909090909090907
BG,1979,4134773,8,4.2727272727272725,3.7272727272727275
BG,1975,3858327,7,3.388888888888889,3.611111111111111
BG,1986,4574108,22,6.230769230769231,15.76923076923077
BG,1973,3720291,8,2.875,5.125
BG,1992,5143609,5,3.0,2.0
BG,1982,4310254,8,3.1,4.9
BG,1985,4494871,8,3.3333333333333335,4.666666666666666
BG,1987,4638607,20,3.0869565217391304,16.91304347826087
BG,1968,3362503,2,2.0,0.0
BG,1972,3644724,7,4.9,2.0999999999999996
BG,1965,3196501,3,3.0,0.0
BG,1964,3145647,5,5.0,0.0
BG,1994,5376348,2,2.0,0.0
BG,1995,5401596,2,2.0,0.0
BM,1987,4666414,9,5.5,3.5
BM,1990,4947270,3,3.0,0.0
BM,1976,3963595,4,3.5,0.5
BM,1985,4521315,1,1.0,0.0
BM,1996,5511902,1,1.0,0.0
BM,1979,4160346,6,6.0,0.0
BM,1980,4204680,8,8.0,0.0
BM,1977,4049269,8,8.0,0.0
BM,1988,4721619,26,10.25,15.75
BM,1995,5458559,1,1.0,0.0
BM,1981,4251578,5,4.0,1.0
BM,1994,5311632,6,6.0,0.0
BM,1997,5649395,1,1.0,0.0
BM,1984,4441224,16,9.5,6.5
BM,1983,4386136,1,1.0,0.0
BM,1982,4320900,7,7.0,0.0
BM,1992,5102208,3,3.0,0.0
BM,1975,3860899,11,11.0,0.0
BM,1989,4815896,5,3.0,2.0
BM,1986,4588139,6,5.0,1.0
BM,1991,5051262,12,12.0,0.0
BN,1986,4579176,4,4.0,0.0
BO,1972,3640793,13,6.5,6.5
BO,1987,4650569,2,1.5,0.5
BO,1968,3368141,3,3.0,0.0
BO,1981,4247540,4,4.0,0.0
BO,1974,3832288,27,8.0,19.0
BO,1980,4194950,4,4.0,0.0
BO,1978,4083190,12,12.0,0.0
BO,1970,3509279,23,9.166666666666666,13.833333333333334
BO,1977,4055156,5,5.0,0.0
BO,1969,3442158,7,5.5,1.5
BO,1989,4814567,4,4.0,0.0
BO,1971,3567737,32,11.0,21.0
BO,1973,3730020,14,9.4,4.6
BO,1985,4515688,4,4.0,0.0
BO,1967,3340093,2,2.0,0.0
BO,1976,3966535,8,8.0,0.0
BR,1994,5275550,7,2.341463414634146,4.658536585365853
BR,1983,4373536,14,5.3076923076923075,8.692307692307693
BR,1972,3632014,7,3.0,4.0
BR,1977,4001957,55,6.882352941176471,48.11764705882353
BR,1996,5484305,7,1.8571428571428572,5.142857142857142
BR,1984,4425201,22,5.055555555555555,16.944444444444443
BR,1989,4818002,21,4.516129032258065,16.483870967741936
BR,1966,3226963,8,3.5384615384615383,4.461538461538462
BR,1998,5722982,2,1.3333333333333333,0.6666666666666667
BR,1974,3789050,16,3.9444444444444446,12.055555555555555
BR,1987,4641700,20,5.310344827586207,14.689655172413794
BR,1963,3089281,6,2.769230769230769,3.230769230769231
BR,1976,3939230,19,6.3125,12.6875
BR,1982,4309942,19,5.166666666666667,13.833333333333332
BR,1970,3488201,12,3.230769230769231,8.76923076923077
BR,1967,3300330,5,2.7,2.3
